 0,16435336381450033
о0,06792945787067277
е0,05764206401045069
а0,05592749836708034
н0,04906923579359895
и0,04278249510124102
т0,03878184193337688
с0,03233180927498367
в0,030862181580666233
р0,026698236446766818
л0,02653494448073155
e0,024738732854343568
,0,02081972566949706
к0,020574787720444153
м0,017390594382756367
д0,017390594382756367
у0,015757674722403657
я0,015186152841280208
п0,014043109079033311
з0,012410189418680601
ы0,012001959503592423
ь0,011920313520574788
г0,01134879163945134
ч0,011267145656433704
s0,010532331809274985
.0,010205747877204442
a0,009634225996080993
б0,009225996080992815
t0,00857282821685173
i0,00840953625081646
o0,008327890267798824
й0,008246244284781188
r0,008001306335728282
u0,00767472240365774
n0,007348138471587198
ж0,0071032005225342915
–0,006123448726322665
ш0,005715218811234487
ю0,005715218811234487
l0,005306988896146309
х0,004735467015022861
m0,0045721750489875895
p0,004408883082952318
c0,004000653167864141
d0,0035107772697583277
v0,0035107772697583277
ц0,0032658393207054214
]0,0026943174395819727
[0,002612671456564337
А0,002449379490529066
?0,0020411495754408884
f0,001714565643370346
П0,001714565643370346
В0,001714565643370346
'0,0016329196603527107
щ0,0016329196603527107
О0,0015512736773350751
э0,0014696276943174395
-0,0014696276943174395
q0,0011430437622468974
Н0,0011430437622468974
h0,001061397779229262
j0,001061397779229262
b0,0009797517962116264
z0,0009797517962116264
Б0,0009797517962116264
Я0,0009797517962116264
М0,0009797517962116264
К0,0009797517962116264
ф0,0008981058131939908
(0,0007348138471587198
)0,0007348138471587198
И0,0007348138471587198
Е0,0006531678641410843
M0,0006531678641410843
!0,0006531678641410843
g0,0005715218811234487
A0,0005715218811234487
…0,0005715218811234487
00,0004898758981058132
Ф0,0004898758981058132
L0,0004082299150881777
x0,0004082299150881777
Ч0,0004082299150881777
y0,00032658393207054214
Г0,00032658393207054214
:0,00032658393207054214
Р0,00032658393207054214
N0,0002449379490529066
Л0,0002449379490529066
J0,0002449379490529066
Ш0,0002449379490529066
У0,0002449379490529066
С0,0002449379490529066
C0,0002449379490529066
Э0,0002449379490529066
З0,0002449379490529066
B0,00016329196603527107
10,00016329196603527107
S0,00016329196603527107
E0,00016329196603527107
V0,00016329196603527107
Q0,00016329196603527107
O0,00016329196603527107
ё0,00016329196603527107
ъ0,00016329196603527107
G8,164598301763554E-05
Т8,164598301763554E-05
88,164598301763554E-05
58,164598301763554E-05
«8,164598301763554E-05
78,164598301763554E-05
»8,164598301763554E-05
D8,164598301763554E-05
Д8,164598301763554E-05
;8,164598301763554E-05
R8,164598301763554E-05
F8,164598301763554E-05
k8,164598301763554E-05
48,164598301763554E-05

12248


